MASTERID,LAT,LONG,STRAT,rock_type,Ag_ICP_PPB,As_ICP_PPM,Ba_ICP_PPM,Bi_ICP_PPM,Cd_ICP_PPM,Co_ICP_PPM,Cr_ICP_PPM,Cu_ICP_PPM,Ga_ICP_PPM,Hg_ICP_PPB,Mn_ICP_PPM,Mo_ICP_PPM,Ni_ICP_PPM,Pb_ICP_PPM,Sb_ICP_PPM,Sc_ICP_PPM,Se_ICP_PPM,Sr_ICP_PPM,Te_ICP_PPM,Th_ICP_PPM,Tl_ICP_PPM,U_ICP_PPM,V_ICP_PPM,W_ICP_PPM,Zn_ICP_PPM,La_ICP_PPM,Al_ICP_PPM,Ca_ICP_PPM,Fe_ICP_PPM,K_ICP_PPM,Mg_ICP_PPM,Na_ICP_PPM,P_ICP_PPM,S_ICP_PPM,Ti_ICP_PPM
ID093J073660,54.53931,-123.46455,KTmc,calcsilicate metamorphic rocks,440.0,4.199999809,298.5,0.08,1.37,11.3,96.0,50.64,5.0,290.0,218.0,1.43,113.4,7.7,0.6,9.3,1.7,50.0,0.04,0.9,0.16,0.9,48.0,-0.1,142.2,9.5,20299.99971,11399.999999999998,20099.999999999996,700.0000000000001,6500.0,260.0,1330.0,2600.0,190.0
ID093J073662,54.53598,-123.44631,KTmc,calcsilicate metamorphic rocks,280.0,6.699999809,69.0,0.08,1.22,11.5,77.0,47.31,3.2,230.0,270.0,2.66,106.6,7.56,0.66,10.1,2.8,55.5,0.04,1.4,0.14,1.5,42.0,-0.1,128.0,9.0,12999.999520000001,14800.0,19000.0,500.0,5300.0,300.0,1060.0,5800.0,200.0
ID093J073663,54.52681,-123.44418,KTmc,calcsilicate metamorphic rocks,480.0,4.800000191,257.0,0.08,1.77,8.5,76.0,58.32,3.3,430.0,222.0,2.54,104.5,7.56,0.72,6.8,2.0,53.0,0.04,0.6,0.22,0.9,34.0,-0.1,176.5,8.0,14800.00019,12400.0,15800.0,500.0,4800.0,270.0,1140.0,3800.0,130.0
ID093J073664,54.52681,-123.44418,KTmc,calcsilicate metamorphic rocks,540.0,5.400000095,257.0,0.08,1.8,8.7,78.0,61.12,3.4,420.0,211.0,2.74,110.2,6.67,0.7,7.7,2.2,51.5,0.04,0.6,0.24,0.9,36.0,-0.1,175.2,8.5,15199.99981,11600.0,16299.999999999998,500.0,4900.0,250.0,1070.0,3800.0,140.0
ID093J073665,54.51859,-123.41304,KTpg,paragneiss metamorphic rocks,520.0,5.400000095,238.0,0.1,1.3,12.6,105.5,63.74,4.4,335.0,356.0,2.97,142.6,8.58,1.08,6.2,2.4,47.5,0.04,0.6,0.22,1.1,62.0,-0.1,184.2,10.0,19800.00019,12400.0,20400.0,700.0000000000001,5800.0,240.0,1470.0,4000.0,140.0
ID093J073666,54.51131,-123.37845,KTpg,paragneiss metamorphic rocks,460.0,3.599999905,290.0,0.08,1.3,8.3,94.0,59.29,3.5,295.0,204.0,1.79,139.1,7.55,0.78,4.5,2.6,54.5,0.04,0.4,0.12,1.1,38.0,-0.1,114.5,10.0,16499.99976,13300.0,13500.0,500.0,4500.0,250.0,1440.0,3200.0,120.0
ID093J073667,54.50185,-123.27647,TrJTk,basaltic volcanic rocks,580.0,8.600000381,237.0,0.08,1.75,10.3,79.0,62.87,3.0,310.0,325.0,2.3,93.8,6.6,0.84,7.8,2.2,55.0,0.04,0.7,0.14,1.1,62.0,-0.1,128.2,12.5,13400.000329999999,13000.0,17600.0,400.0,3500.0,280.0,1330.0,3400.0000000000005,140.0
ID093J073668,54.50034,-123.22617,TrJTk,basaltic volcanic rocks,320.0,3.900000095,242.5,0.06,1.07,10.4,83.5,50.87,4.2,250.0,271.0,2.77,89.9,7.69,0.72,11.1,1.7,64.5,0.04,1.5,0.16,1.0,46.0,-0.1,124.2,9.0,15700.00052,14400.0,20600.0,800.0,8000.0,350.00000000000006,9900.0,3800.0,350.00000000000006
ID093J073669,54.49285,-123.2223,TrJTk,basaltic volcanic rocks,240.0,7.199999809,19.0,0.06,0.64,8.4,74.0,62.3,2.1,175.0,220.0,9.49,147.8,5.63,0.76,9.2,4.0,46.0,0.02,1.5,0.1,2.1,24.0,-0.1,89.1,6.0,8100.00002,11500.0,24400.0,500.0,4700.0,390.0,620.0,19000.0,200.0
ID093J073670,54.49117,-123.20886,TrJTk,basaltic volcanic rocks,200.0,4.199999809,63.0,0.08,0.51,9.3,81.0,40.51,3.0,185.0,525.0,2.76,93.6,7.3,0.48,9.3,2.3,42.5,0.04,1.3,0.12,1.4,40.0,-0.1,87.6,8.0,11799.99948,9700.0,19800.0,600.0,5699.999999999999,300.0,1050.0,5400.0,220.0
ID093J073671,54.48315,-123.20021,TrJTk,basaltic volcanic rocks,180.0,4.800000191,16.5,0.04,0.81,6.5,61.0,33.09,1.5,115.0,105.0,11.21,114.9,4.95,0.68,7.2,34.1,51.5,0.04,1.3,0.16,4.9,16.0,-0.1,79.0,5.0,6700.00017,14200.0,23800.0,400.0,3700.0,320.0,620.0,25200.0,130.0
ID093J073672,54.48727,-123.16752,TrJTk,basaltic volcanic rocks,540.0,4.900000095,127.5,0.1,1.21,9.7,105.5,65.17,4.8,315.0,270.0,2.28,143.6,8.79,0.8,9.8,3.4,57.5,0.04,0.9,0.18,1.7,54.0,-0.1,126.4,15.0,21300.00114,14200.0,20500.0,700.0000000000001,5900.0,300.0,1520.0,3800.0,190.0
ID093J073674,54.47645,-123.14008,TrJTk,basaltic volcanic rocks,220.0,8.399999619,28.5,0.06,0.72,10.2,54.5,38.8,2.5,200.0,284.0,2.09,78.0,5.59,0.6,8.1,1.4,62.0,0.02,1.3,0.14,0.7,28.0,-0.1,173.8,5.5,11000.000240000001,17600.0,16700.0,500.0,4700.0,290.0,780.0,12400.0,160.0
ID093J073675,54.44807,-123.12652,TrJTk,basaltic volcanic rocks,580.0,7.199999809,50.0,0.1,0.78,13.7,75.0,64.45,3.1,315.0,350.0,8.58,119.0,6.63,0.98,10.4,2.2,70.0,0.04,1.6,0.14,1.2,42.0,-0.1,168.0,7.5,14400.00057,21300.0,20800.0,700.0000000000001,4600.0,310.0,1019.9999999999999,7800.0,170.0
ID093J073676,54.46616,-123.10951,TrJTk,basaltic volcanic rocks,640.0,7.900000095,448.0,0.16,0.87,15.5,108.5,63.6,8.1,300.0,435.0,1.53,127.0,12.23,0.78,15.7,1.4,45.0,0.04,1.5,0.22,1.1,90.0,-0.1,146.9,16.5,32400.0001,8800.0,40599.99999999999,1300.0,8300.0,290.0,2030.0000000000002,2000.0,240.0
ID093J073677,54.48101,-123.0902,TrJTk,basaltic volcanic rocks,580.0,3.900000095,292.5,0.08,1.33,11.1,87.0,61.87,4.8,410.0,257.0,1.74,88.4,7.48,0.76,12.1,2.7,56.5,0.04,0.9,0.2,1.6,48.0,-0.1,125.1,12.0,21500.00095,13799.999999999998,20299.999999999996,700.0000000000001,6100.0,320.0,1140.0,3200.0,240.0
ID093J073678,54.48073,-123.0776,TrJTk,basaltic volcanic rocks,520.0,10.10000038,142.0,0.1,1.65,20.0,97.5,64.02,4.5,360.0,354.0,2.9,125.6,8.75,0.94,13.3,3.1,54.0,0.06,1.7,0.22,1.3,70.0,-0.1,179.3,13.5,19600.00038,13500.0,33900.0,800.0,6200.0,300.0,1500.0,3600.0,250.0
ID093J073679,54.4175,-123.03455,TrJTk,basaltic volcanic rocks,340.0,6.0,300.0,0.1,1.11,13.1,94.0,41.59,4.9,245.0,330.0,1.38,90.0,9.26,0.38,16.1,1.8,51.0,0.04,2.6,0.18,2.0,56.0,-0.1,125.6,11.0,19600.00038,10700.0,27900.0,900.0,7700.0,350.00000000000006,1010.0000000000001,2600.0,400.0
ID093J073680,54.43807,-123.0387,TrJTk,basaltic volcanic rocks,500.0,5.300000191,334.0,0.12,1.77,15.6,112.5,56.51,5.8,345.0,387.0,1.91,108.3,9.8,0.46,18.9,2.4,54.5,0.04,3.6,0.2,2.6,60.0,-0.1,150.5,13.0,22100.00038,12200.0,30900.0,1000.0,8900.0,340.0,1120.0,2800.0000000000005,420.0
