MASTERID,LAT,LONG,STRAT,rock_type,Ag_ICP_PPB,As_ICP_PPM,Ba_ICP_PPM,Bi_ICP_PPM,Cd_ICP_PPM,Co_ICP_PPM,Cr_ICP_PPM,Cu_ICP_PPM,Ga_ICP_PPM,Hg_ICP_PPB,Mn_ICP_PPM,Mo_ICP_PPM,Ni_ICP_PPM,Pb_ICP_PPM,Sb_ICP_PPM,Sc_ICP_PPM,Se_ICP_PPM,Sr_ICP_PPM,Te_ICP_PPM,Th_ICP_PPM,Tl_ICP_PPM,U_ICP_PPM,V_ICP_PPM,W_ICP_PPM,Zn_ICP_PPM,La_ICP_PPM,Al_ICP_PPM,Ca_ICP_PPM,Fe_ICP_PPM,K_ICP_PPM,Mg_ICP_PPM,Na_ICP_PPM,P_ICP_PPM,S_ICP_PPM,Ti_ICP_PPM
ID093J075133,54.80482,-122.86826,CPSm,basaltic volcanic rocks,820.0,7.800000191,38.0,0.18,1.79,15.3,58.0,73.71,3.9,285.0,277.0,5.46,59.5,30.61,1.02,6.8,3.9,55.0,0.08,0.8,0.16,2.5,46.0,-0.1,138.7,11.0,16100.00014,16600.0,24800.0,100.0,5000.0,270.0,1050.0,8600.0,180.0
ID093J075134,54.80875,-122.88802,CPSm,basaltic volcanic rocks,460.0,5.5,27.5,0.08,3.2,6.1,81.0,54.22,2.0,285.0,85.0,5.33,34.5,5.35,1.12,2.7,9.9,40.5,0.06,0.3,0.16,3.3,30.0,-0.1,106.6,4.0,6000.000239999999,14200.0,11600.0,-100.0,2500.0,280.0,520.0,8400.0,150.0
ID093J075135,54.80125,-122.92449,CPSm,basaltic volcanic rocks,740.0,7.699999809,18.0,0.08,1.48,6.7,28.0,63.15,1.7,135.0,724.0,7.95,28.4,4.72,0.98,6.5,10.7,42.0,0.04,0.5,0.1,1.8,20.0,-0.1,92.0,9.5,6299.99995,11200.000000000002,22700.0,-100.0,1500.0,260.0,720.0,16000.0,80.0
ID093J075136,54.80007,-122.93873,CPSm,basaltic volcanic rocks,520.0,4.5,19.0,0.08,2.57,6.9,30.0,56.95,2.1,155.0,124.0,13.18,35.0,4.77,0.52,4.4,11.7,37.0,0.04,0.5,0.14,3.5,20.0,0.1,86.7,9.0,8000.000120000001,20400.0,14600.0,-100.0,2400.0,260.0,470.0,13799.999999999998,130.0
ID093J075137,54.8123,-122.94179,CPSm,basaltic volcanic rocks,440.0,3.299999952,27.5,0.08,1.09,3.9,42.5,29.96,1.5,110.0,236.0,3.75,21.4,6.38,0.7,1.9,4.6,39.5,0.04,0.2,0.08,0.7,18.0,-0.1,104.5,4.0,6299.99995,11299.999999999998,12600.0,-100.0,1400.0000000000002,300.0,700.0000000000001,8200.0,80.0
ID093J075138,54.8097,-122.95139,CPSm,basaltic volcanic rocks,720.0,4.599999905,111.5,0.1,1.31,8.0,41.5,50.02,2.2,205.0,126.0,5.65,47.8,5.61,0.72,2.8,4.6,37.5,0.02,0.2,0.14,2.0,20.0,0.1,78.3,10.0,9599.99979,10300.0,9700.0,-100.0,2600.0,270.0,520.0,3800.0,100.0
ID093J075139,54.83799,-122.95564,TrJTk,"mudstone, siltstone, shale fine clastic sedimentary rocks",620.0,5.199999809,130.5,0.08,1.09,4.4,34.0,35.09,2.4,140.0,180.0,1.17,26.9,5.63,0.82,3.7,3.9,99.5,0.08,0.5,0.1,1.0,22.0,0.1,55.7,6.0,9200.00017,24800.0,10000.0,-100.0,3000.0,270.0,620.0,3200.0,90.0
ID093J075140,54.85526,-122.95291,TrJTk,"mudstone, siltstone, shale fine clastic sedimentary rocks",340.0,3.0,40.0,0.02,0.56,9.7,40.0,55.33,1.5,125.0,184.0,2.21,21.0,2.82,0.64,8.7,2.8,39.5,0.04,0.2,0.08,0.4,46.0,-0.1,79.8,3.5,6000.000239999999,18300.0,9400.0,-100.0,2600.0,280.0,590.0,7800.0,220.0
ID093J075142,54.85065,-122.9708,TrJTk,"mudstone, siltstone, shale fine clastic sedimentary rocks",560.0,4.900000095,72.5,0.06,2.15,2.9,33.5,48.95,1.9,180.0,50.0,2.67,32.4,5.68,0.82,3.2,5.8,57.5,0.06,0.3,0.14,5.2,20.0,-0.1,35.1,5.5,7599.9999,21700.0,5100.0,-100.0,2000.0,280.0,700.0000000000001,5400.0,90.0
ID093J075143,54.85313,-122.99277,TrJTk,"mudstone, siltstone, shale fine clastic sedimentary rocks",600.0,4.699999809,25.5,0.08,1.43,9.9,59.5,47.89,2.5,150.0,177.0,3.56,44.4,7.47,1.48,4.8,6.0,90.0,0.08,0.5,0.08,1.0,32.0,-0.1,104.2,7.0,9599.99979,19300.0,18000.0,-100.0,3400.0000000000005,280.0,770.0,13000.0,160.0
ID093J075144,54.86285,-122.9752,TrJTk,"mudstone, siltstone, shale fine clastic sedimentary rocks",780.0,5.599999905,59.5,0.08,1.19,9.2,53.0,80.24,2.9,225.0,219.0,1.52,38.0,5.44,0.8,9.1,5.5,58.5,0.08,0.5,0.1,0.8,34.0,-0.1,79.2,11.0,11000.000240000001,29700.000000000004,15700.0,-100.0,4400.0,300.0,840.0,5400.0,150.0
ID093J075145,54.87363,-122.97776,TrJTk,"mudstone, siltstone, shale fine clastic sedimentary rocks",740.0,6.099999905,34.0,0.1,1.97,13.1,55.5,82.66,2.9,205.0,277.0,2.29,45.1,6.88,1.18,10.6,7.2,53.5,0.1,0.8,0.1,0.8,54.0,-0.1,133.4,6.5,10199.99981,21100.0,27100.0,-100.0,4600.0,270.0,820.0,8800.0,170.0
ID093J075146,54.88472,-122.98875,TrJTk,"mudstone, siltstone, shale fine clastic sedimentary rocks",820.0,9.199999809,29.0,0.12,1.42,13.8,56.0,91.83,3.6,230.0,394.0,5.15,57.0,6.22,1.34,7.9,4.7,41.0,0.06,0.5,0.14,1.3,66.0,-0.1,154.0,16.5,14199.99957,13200.0,26400.0,100.0,5000.0,320.0,1160.0,12000.0,120.0
ID093J075147,54.88472,-122.98875,TrJTk,"mudstone, siltstone, shale fine clastic sedimentary rocks",800.0,9.300000191,30.0,0.12,1.33,14.4,59.5,90.82,3.8,240.0,408.0,5.76,55.5,6.54,1.32,7.6,5.0,40.5,0.08,0.5,0.16,1.5,66.0,-0.1,160.7,15.5,14600.00038,13500.0,26900.0,200.0,5000.0,300.0,1130.0,11800.0,130.0
ID093J075148,54.72947,-122.86849,CPSm,basaltic volcanic rocks,360.0,3.099999905,84.0,0.06,0.69,9.6,39.5,104.4,2.5,155.0,127.0,1.42,39.7,3.86,0.4,2.7,2.2,28.0,0.02,-0.1,0.08,0.8,30.0,-0.1,44.7,11.5,11200.00005,11100.000000000002,9500.0,-100.0,3000.0,310.0,630.0,3400.0000000000005,140.0
ID093J075149,54.74257,-122.89605,CPSm,basaltic volcanic rocks,200.0,2.5,15.0,0.02,0.47,5.0,12.5,36.16,0.5,90.0,200.0,1.21,11.0,2.21,0.38,4.4,1.8,22.0,0.02,0.1,0.04,0.2,6.0,-0.1,62.0,1.5,3300.00013,17700.0,12600.0,-100.0,600.0,300.0,650.0,15000.0,70.0
ID093J075150,54.77213,-122.94723,CPSm,basaltic volcanic rocks,800.0,12.10000038,14.2,0.17,1.41,16.0,76.2,83.11,4.1,275.0,272.0,8.61,63.9,9.56,0.95,7.7,3.1,84.8,0.09,0.9,0.17,4.5,68.0,-0.1,164.6,13.5,16000.000240000001,18100.0,44100.0,100.0,5200.0,370.0,760.0,32500.0,240.0
ID093J075151,54.75277,-122.93934,CPSm,basaltic volcanic rocks,10.0,2.299999952,410.0,-0.02,1.5,0.7,20.0,4.72,0.2,15.0,53.0,11.46,8.9,0.88,0.52,1.9,5.8,649.5,0.22,-0.1,0.04,4.4,-2.0,0.1,15.7,1.0,599.99999,100000.0,3400.0000000000005,-100.0,3000.0,250.0,60.0,2800.0000000000005,30.0
ID093J075152,54.73813,-122.93867,CPSm,basaltic volcanic rocks,1320.0,10.0,70.5,0.22,1.88,11.2,55.0,72.38,3.7,240.0,322.0,6.53,54.0,8.47,1.12,2.4,2.5,40.0,0.06,0.1,0.24,1.3,86.0,0.1,182.8,12.5,17000.00048,11000.0,19000.0,200.0,2800.0000000000005,320.0,1770.0,5400.0,90.0
ID093J075153,54.73329,-122.93493,CPSm,basaltic volcanic rocks,480.0,5.099999905,317.0,0.12,0.86,7.2,70.5,42.41,2.7,240.0,338.0,2.38,40.2,6.18,0.64,6.0,1.4,46.5,0.04,0.3,0.1,0.9,42.0,-0.1,69.0,9.0,12799.99971,12100.0,16299.999999999998,200.0,3000.0,310.0,810.0,2400.0,150.0
ID093J075155,54.68863,-122.9173,CPSm,basaltic volcanic rocks,1000.0,4.0,70.0,0.08,1.76,5.3,23.5,57.49,2.0,320.0,165.0,4.02,30.8,3.62,0.84,6.0,1.7,61.0,0.06,0.2,0.14,0.6,30.0,-0.1,144.6,8.0,10299.99971,16400.0,8600.0,-100.0,1200.0,310.0,1150.0,5400.0,90.0
ID093J075156,54.7052,-122.97082,TrJTk,basaltic volcanic rocks,720.0,2.099999905,141.0,0.04,1.17,5.4,50.5,38.08,1.7,105.0,107.0,1.76,41.6,3.91,0.9,1.6,1.4,25.0,0.02,-0.1,0.04,0.5,24.0,-0.1,81.9,6.5,10499.999520000001,5600.000000000001,3100.0,-100.0,1000.0,340.0,1050.0,2800.0000000000005,50.0
ID093J075157,54.71714,-123.00888,KTpg,paragneiss metamorphic rocks,140.0,12.0,68.5,0.02,1.92,2.7,67.5,25.05,0.9,100.0,109.0,46.02,39.3,6.16,1.26,2.2,9.2,190.0,0.08,0.2,0.14,19.9,22.0,-0.1,67.3,2.5,2700.00011,100000.0,8600.0,-100.0,2200.0,310.0,470.0,12200.0,120.0
ID093J075158,54.73037,-123.03522,KTpg,paragneiss metamorphic rocks,500.0,5.800000191,26.0,0.04,1.61,6.6,25.0,60.96,1.1,205.0,109.0,9.39,31.1,2.94,0.8,3.6,2.9,60.5,0.06,-0.1,0.18,0.8,28.0,-0.1,165.9,6.0,5899.99974,15100.0,10700.0,-100.0,1400.0000000000002,320.0,1030.0,10000.0,50.0
ID093J075159,54.73787,-123.06646,KTpg,paragneiss metamorphic rocks,1200.0,4.300000191,106.5,0.1,2.07,5.1,30.5,51.22,2.0,270.0,187.0,8.19,33.5,4.77,0.54,4.1,2.8,46.5,0.04,0.1,0.16,1.2,38.0,-0.1,155.2,9.0,14199.99957,12400.0,7800.0,200.0,1400.0000000000002,350.00000000000006,2010.0000000000002,4600.0,70.0
ID093J075160,54.73384,-123.0743,KTpg,paragneiss metamorphic rocks,340.0,4.900000095,135.5,0.12,1.47,9.8,71.0,40.59,2.5,165.0,165.0,4.57,48.7,4.81,0.48,4.9,4.7,61.0,0.06,0.5,0.18,2.2,34.0,0.1,98.7,8.0,8999.99976,18300.0,12600.0,200.0,3800.0,370.0,780.0,5000.0,260.0
ID093J075162,54.71956,-123.07512,KTpg,paragneiss metamorphic rocks,620.0,4.699999809,201.0,0.06,1.99,6.9,47.5,47.94,1.8,365.0,184.0,3.29,38.2,3.65,0.88,4.2,2.9,45.5,0.06,-0.1,0.2,1.8,30.0,0.1,101.1,9.5,9599.99979,14000.0,7900.0,200.0,2000.0,330.0,1030.0,4200.0,70.0
ID093J075163,54.69889,-123.0483,KTpg,paragneiss metamorphic rocks,640.0,5.199999809,153.0,0.06,2.15,9.2,43.0,61.14,2.5,260.0,168.0,3.66,49.1,4.11,0.88,4.8,5.4,70.5,0.06,-0.1,0.16,1.4,36.0,-0.1,87.5,8.5,11200.00005,13300.0,10600.0,200.0,3400.0000000000005,360.0,1130.0,4600.0,110.0
ID093J075164,54.70129,-123.08532,KTpg,paragneiss metamorphic rocks,540.0,20.89999962,43.5,0.06,2.19,8.8,55.5,68.78,2.4,385.0,389.0,6.1,70.8,3.52,0.66,10.2,3.1,42.5,0.04,0.4,0.22,1.8,40.0,0.1,85.8,15.0,10299.99971,10900.0,20099.999999999996,200.0,2400.0,330.0,1080.0,7200.0,160.0
ID093J075165,54.70576,-123.12341,KTpg,paragneiss metamorphic rocks,640.0,3.599999905,177.0,0.08,2.43,5.4,34.5,45.28,1.5,225.0,142.0,3.52,36.0,4.04,0.61,3.5,2.1,35.0,0.04,-0.1,0.1,1.1,22.0,-0.1,215.1,4.5,8899.99986,9200.0,6800.000000000001,200.0,1000.0,320.0,2080.0,3800.0,60.0
ID093J075166,54.70576,-123.12341,KTpg,paragneiss metamorphic rocks,740.0,3.799999952,176.0,0.08,2.47,4.4,35.5,44.58,1.6,225.0,139.0,3.73,37.9,5.41,0.66,4.0,2.3,36.5,0.04,-0.1,0.12,1.2,24.0,-0.1,201.2,5.0,9100.000259999999,9400.0,6600.0,100.0,1100.0,330.0,2120.0,3600.0,60.0
ID093J075167,54.68964,-123.13151,KTpg,paragneiss metamorphic rocks,360.0,7.699999809,120.5,0.12,1.84,11.7,71.0,35.42,3.7,210.0,297.0,2.56,62.7,5.19,0.36,6.6,2.0,55.5,0.08,0.6,0.2,3.5,38.0,-0.1,97.6,9.5,13799.99995,12600.0,19300.0,300.0,5400.0,330.0,730.0,4800.0,320.0
ID093J075168,54.67985,-123.09216,KTpg,paragneiss metamorphic rocks,920.0,9.800000191,193.5,0.2,2.8,13.5,78.5,74.95,6.0,385.0,340.0,3.99,88.0,10.67,1.29,5.2,2.5,68.1,0.11,0.2,0.35,1.2,88.0,-0.1,215.9,13.6,22899.99962,10900.0,29500.0,300.0,7000.0,340.0,1470.0,3500.0,190.0
ID093J075169,54.66097,-123.0796,KTpg,paragneiss metamorphic rocks,460.0,5.300000191,142.0,0.06,2.0,8.1,53.0,40.84,1.8,235.0,186.0,2.19,56.8,3.11,0.62,3.9,2.0,47.0,0.04,0.1,0.12,1.1,22.0,-0.1,140.0,6.5,9200.00017,11000.0,8500.0,-100.0,2400.0,360.0,930.0,3400.0000000000005,90.0
ID093J075171,54.65492,-123.10633,KTpg,paragneiss metamorphic rocks,540.0,5.099999905,107.0,0.08,1.88,10.7,72.5,47.56,3.6,320.0,174.0,2.07,90.4,4.57,0.6,5.3,1.8,61.0,0.08,0.4,0.16,1.4,34.0,-0.1,113.9,9.0,14299.99948,12500.0,16800.0,300.0,5699.999999999999,350.00000000000006,780.0,4200.0,220.0
ID093J075172,54.64171,-123.14697,KTpg,paragneiss metamorphic rocks,780.0,9.600000381,208.5,0.18,1.3,17.7,105.5,71.3,6.2,310.0,630.0,2.34,112.4,9.28,0.94,8.7,1.8,48.0,0.1,0.6,0.24,1.4,84.0,-0.1,157.6,13.0,22400.0001,8400.0,35900.0,400.0,8000.0,370.0,1610.0,2600.0,310.0
ID093J075173,54.62527,-123.1919,KTpg,paragneiss metamorphic rocks,800.0,8.899999619,487.5,0.2,1.57,23.3,115.5,61.31,6.7,465.0,1273.0,1.62,97.7,9.67,0.62,14.2,2.1,57.5,0.08,1.9,0.32,3.1,90.0,-0.1,144.1,16.0,23299.99924,12600.0,48700.0,400.0,8900.0,370.0,1120.0,1600.0,480.0
ID093J075174,54.61642,-123.1678,KTpg,paragneiss metamorphic rocks,820.0,8.5,383.5,0.2,1.52,16.1,100.5,63.63,5.5,435.0,722.0,2.03,88.2,9.46,0.6,13.1,2.4,60.0,0.08,1.4,0.26,3.1,80.0,-0.1,131.4,16.5,21199.99886,13799.999999999998,31100.0,400.0,7900.0,390.0,9800.0,2400.0,390.0
ID093J075175,54.61456,-123.04147,TrJTk,basaltic volcanic rocks,820.0,18.39999962,25.0,0.16,2.16,16.8,79.5,96.93,6.0,365.0,435.0,11.86,107.8,8.02,1.08,9.5,2.9,58.5,0.12,0.9,0.22,2.2,84.0,0.1,158.1,22.5,19600.00038,12900.0,43000.0,400.0,6000.0,420.0,1030.0,18000.0,230.0
ID093J075176,54.64416,-122.99723,TrJTk,basaltic volcanic rocks,880.0,6.800000191,166.5,0.1,2.24,7.5,38.5,44.25,3.5,235.0,154.0,2.42,36.4,12.2,0.44,3.4,3.4,51.0,0.06,0.4,0.14,3.4,32.0,-0.1,149.3,22.0,12999.999520000001,13899.999999999998,12400.0,200.0,3300.0,260.0,1000.0,4000.0,90.0
ID093J075177,54.65898,-122.97124,TrJTk,basaltic volcanic rocks,800.0,4.099999905,223.0,0.06,2.15,6.4,72.0,48.09,3.5,505.0,116.0,1.5,57.9,6.26,0.62,2.8,1.7,38.5,0.06,0.2,0.12,1.1,32.0,-0.1,104.8,13.0,16499.99976,7900.0,9900.0,200.0,3000.0,380.0,1590.0,2200.0,110.0
ID093J075178,54.62066,-122.86107,CPSm,basaltic volcanic rocks,880.0,6.199999809,170.0,0.1,2.27,7.7,40.0,45.04,3.6,250.0,158.0,2.37,37.6,13.69,0.46,3.2,3.3,51.5,0.06,0.2,0.16,3.5,32.0,-0.1,150.7,23.5,13400.000329999999,14000.0,12700.0,200.0,3400.0000000000005,320.0,1040.0,4000.0,90.0
ID093J075179,54.64054,-122.79481,CPSm,basaltic volcanic rocks,360.0,7.900000095,92.5,0.06,2.0,6.1,48.5,32.8,1.7,130.0,258.0,2.36,35.8,4.83,0.62,2.8,2.0,63.0,0.04,0.3,0.08,1.2,18.0,-0.1,102.3,7.5,6100.00014,17400.0,8400.0,-100.0,2400.0,270.0,570.0,4600.0,120.0
ID093K071362,54.44646,-124.09545,TrJTk,volcaniclastic rocks,260.0,7.5,8.0,0.08,0.48,8.5,47.5,43.66,3.1,105.0,433.0,4.79,64.3,13.79,0.48,6.5,1.8,26.5,0.04,3.0,0.12,0.7,36.0,-0.1,70.2,5.5,10700.00052,8200.0,22700.0,800.0,5000.0,350.00000000000006,690.0000000000001,13200.0,200.0
ID093K071363,54.4618,-124.06361,TrJTk,volcaniclastic rocks,300.0,4.599999905,8.0,0.04,0.32,4.6,29.0,23.36,1.6,65.0,301.0,8.92,46.8,14.36,0.42,2.8,1.4,48.0,0.04,1.7,0.08,0.5,14.0,-0.1,55.7,2.0,6000.000239999999,13500.0,11299.999999999998,500.0,3900.0,480.0,1160.0,15800.0,100.0
ID093K071364,54.45753,-124.04433,TrJTk,volcaniclastic rocks,250.0,6.199999809,71.0,-0.02,0.13,0.6,7.5,8.98,0.2,20.0,217.0,5.74,16.0,12.51,0.28,0.8,0.6,269.5,0.06,0.4,0.04,0.3,4.0,-0.1,22.5,-0.5,900.0000399999999,100000.0,2400.0,100.0,2500.0,390.0,290.0,3600.0,20.0
ID093K071365,54.45753,-124.04433,TrJTk,volcaniclastic rocks,220.0,7.400000095,75.5,-0.02,0.12,0.7,8.0,8.89,0.2,15.0,224.0,5.1,17.2,11.15,0.22,0.9,0.6,274.5,0.08,0.3,0.04,0.2,2.0,-0.1,21.6,-0.5,900.0000399999999,100000.0,2400.0,200.0,2700.0,410.0,300.0,3600.0,20.0
ID093K071662,54.34093,-124.01759,MTrCc,"limestone, marble, calcareous sedimentary rocks",167.0,8.699999809,35.5,0.02,0.49,1.5,12.0,19.98,0.7,55.0,89.0,5.66,13.5,2.62,0.56,0.6,3.5,120.5,0.04,0.3,0.04,3.4,20.0,-0.1,42.0,2.5,2899.9999199999997,100000.0,6200.0,600.0,1500.0,320.0,690.0000000000001,13200.0,50.0
ID093K071828,54.44412,-124.1897,MTrCc,"limestone, marble, calcareous sedimentary rocks",80.0,15.0,31.5,0.02,0.29,3.7,20.0,16.78,0.8,30.0,240.0,11.96,22.5,0.07,0.66,1.1,1.7,71.0,0.02,0.4,0.02,2.4,12.0,-0.1,61.5,1.5,3000.0001199999997,18700.0,12500.0,300.0,3300.0,500.0,780.0,25200.0,40.0
ID093K071829,54.41706,-124.11533,MTrCc,"limestone, marble, calcareous sedimentary rocks",240.0,2.599999905,211.5,0.06,0.65,5.5,29.0,36.16,2.1,85.0,475.0,1.98,36.6,1.27,0.5,1.6,1.6,26.0,0.02,0.6,0.04,0.8,26.0,-0.1,97.8,6.0,7300.00019,13300.0,13700.000000000002,500.0,3200.0,290.0,910.0,6400.0,80.0
ID093N071148,55.03304,-124.05348,TrJTk,calc-alkaline volcanic rocks,280.0,7.599999905,144.0,0.06,0.49,8.5,48.5,57.46,3.7,115.0,370.0,1.79,16.9,4.61,0.68,2.6,2.0,67.0,0.04,0.2,0.06,1.0,56.0,-0.1,43.7,6.5,14800.00019,13799.999999999998,21200.0,600.0,6700.0,440.0,1050.0,4400.0,210.0
ID093N071149,55.0029,-124.08509,TrJTk,calc-alkaline volcanic rocks,160.0,18.39999962,67.5,0.02,0.56,3.8,78.0,32.15,1.3,100.0,112.0,5.22,10.3,3.04,0.74,1.3,13.1,51.5,-0.02,0.2,0.02,4.1,50.0,-0.1,34.9,3.5,5400.00021,16800.0,9000.0,200.0,2400.0,420.0,590.0,7600.0,150.0
ID093N071150,55.01538,-124.12409,TrJTk,calc-alkaline volcanic rocks,700.0,4.800000191,44.0,0.1,0.85,8.1,33.0,144.0,2.6,170.0,154.0,4.05,32.1,5.08,0.5,1.1,1.0,43.0,0.04,-0.1,0.1,1.6,52.0,-0.1,102.3,9.5,17799.99971,9500.0,14200.0,900.0,3400.0000000000005,400.0,1400.0000000000002,8600.0,90.0
ID093N071151,55.01256,-124.15822,TrJTk,calc-alkaline volcanic rocks,480.0,5.199999809,102.5,0.08,0.49,4.0,32.0,96.12,1.7,215.0,90.0,4.04,19.1,4.53,0.64,5.4,1.5,26.5,-0.02,0.2,0.06,1.2,32.0,-0.1,44.9,6.0,8999.99976,6300.0,8900.0,800.0,2700.0,530.0,270.0,6400.0,210.0
ID093N071152,55.007,-124.1902,lJCl,coarse volcaniclastic and pyroclastic volcanic rocks,140.0,4.699999809,61.5,0.04,0.41,2.3,17.5,34.56,1.2,85.0,163.0,2.92,10.9,3.66,0.3,0.7,1.6,48.5,0.02,0.1,0.02,0.7,20.0,-0.1,35.6,3.5,5699.99993,12800.0,6000.0,300.0,2000.0,340.0,650.0,4800.0,80.0
ID093N071153,55.01747,-124.17387,TrJTk,"mudstone, siltstone, shale fine clastic sedimentary rocks",260.0,6.5,40.5,0.02,0.34,1.7,30.5,41.78,0.5,80.0,26.0,6.54,8.6,2.77,0.5,1.6,1.5,18.5,-0.02,0.1,0.04,1.3,18.0,-0.1,31.5,4.0,3899.9998600000004,5800.0,3700.0,200.0,800.0,380.0,220.0,6200.0,70.0
ID093N071154,55.03013,-124.18034,TrJTk,"mudstone, siltstone, shale fine clastic sedimentary rocks",880.0,9.100000381,185.0,0.12,0.6,12.3,42.5,73.9,3.6,215.0,267.0,2.63,25.5,5.84,0.64,2.7,1.0,58.0,0.04,0.3,0.1,1.1,108.0,-0.1,84.6,19.5,21900.000570000004,10600.0,25500.0,600.0,3600.0,400.0,2360.0,4000.0,190.0
ID093N071155,55.03189,-124.20577,lJCl,coarse volcaniclastic and pyroclastic volcanic rocks,180.0,1.899999976,96.0,0.02,0.61,4.6,19.0,47.27,1.4,65.0,125.0,2.52,13.7,2.88,0.52,1.0,7.3,235.0,0.06,0.2,0.04,2.8,30.0,-0.1,44.0,3.0,2899.9999199999997,100000.0,8700.0,300.0,2800.0000000000005,300.0,250.0,2800.0000000000005,180.0
ID093N071156,55.02212,-124.21328,lJCl,coarse volcaniclastic and pyroclastic volcanic rocks,280.0,5.099999905,51.0,0.04,0.48,2.9,15.5,28.49,0.8,75.0,100.0,1.75,8.8,2.68,0.48,0.5,0.7,26.0,-0.02,-0.1,0.04,0.3,28.0,-0.1,51.8,3.0,5299.999709999999,7100.0,5600.000000000001,100.0,800.0,310.0,480.0,4000.0,40.0
ID093N071157,55.01883,-124.21761,lJCl,coarse volcaniclastic and pyroclastic volcanic rocks,220.0,5.300000191,54.0,0.02,0.35,2.5,13.0,29.65,0.5,65.0,84.0,2.0,7.7,2.16,0.42,0.8,0.6,26.5,-0.02,-0.1,0.06,0.3,22.0,-0.1,47.0,3.0,4099.99996,6100.0,4300.0,100.0,700.0000000000001,340.0,320.0,4400.0,50.0
ID093N071158,55.00521,-124.23283,TrJTk,volcaniclastic rocks,340.0,4.300000191,60.0,0.02,0.34,2.2,19.0,59.35,0.6,115.0,79.0,3.16,12.0,2.95,0.5,2.1,1.4,25.0,-0.02,0.1,0.06,0.7,18.0,-0.1,32.5,6.5,4300.00007,7000.0,4300.0,100.0,900.0,470.0,280.0,6200.0,70.0
ID093N071159,55.02022,-124.43831,TrJTk,undivided sedimentary rocks,440.0,4.099999905,68.5,0.04,0.83,4.0,26.5,39.56,1.4,200.0,155.0,4.55,12.9,4.76,0.58,0.8,1.8,38.5,0.04,-0.1,0.08,0.8,28.0,-0.1,50.7,6.5,11699.99957,8500.0,5400.0,200.0,1800.0,400.0,1429.9999999999998,2800.0000000000005,50.0
ID093N071160,55.04808,-124.45772,TrJTk,volcaniclastic rocks,380.0,4.599999905,62.0,0.04,0.63,6.3,37.0,42.49,1.4,140.0,191.0,3.83,16.9,3.69,0.62,1.1,1.3,31.5,0.02,-0.1,0.06,0.9,36.0,-0.1,56.3,6.5,10700.00052,6700.0,8900.0,200.0,2300.0,360.0,940.0,4200.0,60.0
ID093N071162,55.07017,-124.51902,TrJTk,volcaniclastic rocks,620.0,9.699999809,67.0,0.06,1.02,6.4,23.5,79.71,1.9,360.0,164.0,2.39,14.9,4.33,0.76,3.3,1.6,47.0,0.04,0.2,0.12,0.9,40.0,-0.1,54.4,9.0,11599.999670000001,14400.0,11600.0,300.0,2900.0,410.0,560.0,9600.0,120.0
ID093N071163,55.07874,-124.5823,TrJTk,volcaniclastic rocks,440.0,19.20000076,13.0,0.12,1.37,9.0,75.0,100.6,1.9,220.0,437.0,6.76,32.0,6.16,1.04,3.1,8.0,41.5,0.04,0.6,0.08,1.5,34.0,-0.1,84.7,5.5,8100.00002,13100.0,37700.0,300.0,3300.0,429.99999999999994,780.0,29600.0,200.0
ID093N071164,55.07874,-124.5823,TrJTk,volcaniclastic rocks,460.0,18.89999962,13.5,0.12,1.39,9.3,75.0,101.8,2.0,225.0,450.0,7.19,33.5,6.43,1.04,3.2,8.2,42.5,0.04,0.6,0.1,1.6,34.0,-0.1,87.1,5.5,8399.999740000001,12900.0,39000.0,500.0,3400.0000000000005,470.0,760.0,30400.0,210.0
ID093N071165,55.06551,-124.59065,TrJTk,volcaniclastic rocks,660.0,7.599999905,20.5,0.04,1.0,3.0,25.0,42.58,1.0,175.0,168.0,3.49,36.8,4.07,0.58,1.9,4.4,38.5,-0.02,0.3,0.06,0.9,10.0,-0.1,60.8,4.5,5000.0,13700.000000000002,15000.0,300.0,2400.0,500.0,400.0,17000.0,120.0
ID093N071167,55.0558,-124.59394,TrJTk,volcaniclastic rocks,440.0,13.89999962,26.0,0.12,1.37,7.3,36.0,61.11,1.5,225.0,876.0,5.68,28.2,5.83,1.02,2.4,3.5,38.5,0.04,0.4,0.08,1.1,34.0,0.1,79.3,7.0,10199.99981,12600.0,19200.0,300.0,2600.0,660.0,760.0,13799.999999999998,110.0
ID093N071168,55.03457,-124.57532,TrJTk,volcaniclastic rocks,280.0,6.599999905,138.0,0.06,1.16,4.7,24.5,41.77,1.3,190.0,121.0,3.14,32.9,4.34,0.74,1.5,0.9,34.5,0.02,0.1,0.08,1.2,16.0,-0.1,58.8,6.5,9200.00017,9400.0,8000.0,300.0,2500.0,380.0,410.0,5000.0,80.0
ID093N071169,55.00745,-124.56159,TrJTk,undivided sedimentary rocks,520.0,7.800000191,38.5,0.12,1.31,6.6,31.5,120.8,1.9,345.0,139.0,5.3,31.1,5.05,0.9,3.7,4.2,34.0,0.04,0.4,0.12,0.9,36.0,-0.1,78.8,7.0,10099.9999,10700.0,19000.0,300.0,2900.0,380.0,600.0,10000.0,130.0
