Ag_ICP_PPB,As_ICP_PPM,Ba_ICP_PPM,Bi_ICP_PPM,Cd_ICP_PPM,Co_ICP_PPM,Cr_ICP_PPM,Cu_ICP_PPM,Ga_ICP_PPM,Hg_ICP_PPB,Mn_ICP_PPM,Mo_ICP_PPM,Ni_ICP_PPM,Pb_ICP_PPM,Sb_ICP_PPM,Sc_ICP_PPM,Se_ICP_PPM,Sr_ICP_PPM,Te_ICP_PPM,Th_ICP_PPM,Tl_ICP_PPM,U_ICP_PPM,V_ICP_PPM,W_ICP_PPM,Zn_ICP_PPM,La_ICP_PPM,Al_ICP_PPM,Ca_ICP_PPM,Fe_ICP_PPM,K_ICP_PPM,Mg_ICP_PPM,Na_ICP_PPM,P_ICP_PPM,S_ICP_PPM,Ti_ICP_PPM,Actual_Strat,Pred_Strat,Is_Equal,LAT,LONG,rock_type
240.0,4.400000095,223.5,0.14,0.74,12.5,56.0,43.09,7.5,80.0,322.0,2.1,43.0,10.01,0.6,10.8,0.6,54.5,0.04,2.1,0.14,0.9,74.0,-0.1,148.8,13.0,23299.99924,8900.0,28700.0,1900.0,7900.0,520.0,970.0,1000.0,580.0,TrJTk,TrJTk,True,53.75489,-123.00937,volcaniclastic rocks
140.0,1.399999976,124.5,0.02,0.44,1.5,13.5,17.82,1.2,80.0,83.0,1.2,13.8,5.89,0.32,0.8,0.6,74.5,0.02,0.7,0.02,0.3,8.0,-0.1,55.4,3.0,4000.0000600000003,13300.0,2400.0,300.0,1700.0000000000002,290.0,859.9999999999999,2200.0,60.0,TrJTk,TrJTk,True,54.05253,-123.3368,volcaniclastic rocks
1320.0,3.700000048,219.5,0.24,2.3,10.6,59.0,58.38,3.4,260.0,428.0,1.69,34.9,7.61,0.38,4.0,2.4,47.5,0.06,0.2,0.14,4.4,54.0,0.1,106.5,9.5,17799.99971,12400.0,18900.0,400.0,4200.0,280.0,1830.0,2200.0,220.0,TrJTk,TrJTk,True,54.82116,-123.11752,basaltic volcanic rocks
560.0,6.699999809,250.5,0.12,0.72,10.3,55.5,58.81,3.9,230.0,486.0,2.17,31.1,6.06,0.44,3.5,1.0,56.0,0.08,0.4,0.12,1.2,84.0,-0.1,89.7,12.0,22599.9999,10100.0,22799.999999999996,600.0,4600.0,380.0,1870.0,4000.0,210.0,TrJTk,TrJTk,True,54.85891,-123.80133,calc-alkaline volcanic rocks
300.0,14.39999962,29.0,0.02,1.05,10.0,85.5,41.72,3.1,265.0,209.0,2.93,73.5,6.66,0.66,6.9,6.2,63.5,0.06,1.0,0.16,3.2,46.0,-0.1,113.7,7.5,12300.00019,17800.0,22300.0,200.0,5300.0,330.0,930.0,10600.0,330.0,TrJTk,TrJTk,True,54.55835,-123.02582,basaltic volcanic rocks
353.0,11.69999981,132.5,0.07,1.43,10.7,85.5,57.8,4.0,340.0,250.0,2.32,107.7,5.37,0.42,8.6,3.1,51.0,0.04,1.4,0.18,1.6,46.0,-0.1,136.4,15.0,12999.999520000001,7600.0,18400.0,700.0000000000001,6400.0,370.0,820.0,4800.0,350.00000000000006,KTpg,KTpg,True,54.58602,-123.36212,paragneiss metamorphic rocks
80.0,15.0,31.5,0.02,0.29,3.7,20.0,16.78,0.8,30.0,240.0,11.96,22.5,0.07,0.66,1.1,1.7,71.0,0.02,0.4,0.02,2.4,12.0,-0.1,61.5,1.5,3000.0001199999997,18700.0,12500.0,300.0,3300.0,500.0,780.0,25200.0,40.0,MTrCc,MTrCc,True,54.44412,-124.1897,"limestone, marble, calcareous sedimentary rocks"
420.0,7.699999809,64.0,0.1,1.34,13.5,95.0,73.81,3.9,185.0,304.0,7.96,160.0,3.45,1.02,4.3,2.7,47.0,0.04,1.2,0.14,1.5,58.0,-0.1,140.9,8.5,12699.99981,11900.0,23100.0,600.0,7100.0,260.0,940.0,10800.0,130.0,TrJTk,TrJTk,True,54.46676,-123.64369,"mudstone, siltstone, shale fine clastic sedimentary rocks"
160.0,8.699999809,113.5,0.08,0.28,8.3,113.5,37.54,4.0,85.0,339.0,4.47,181.6,1.39,0.6,4.7,2.3,56.0,-0.02,1.6,0.06,2.1,44.0,-0.1,56.2,9.5,8000.000120000001,7800.0,17200.0,400.0,5100.0,470.0,910.0,4000.0,590.0,MTrCc,MTrCc,True,53.76666,-123.29686,basaltic volcanic rocks
800.0,2.200000048,157.0,0.04,0.9,5.2,41.5,55.25,1.8,130.0,127.0,1.1,26.6,4.27,0.34,1.5,1.1,35.5,0.06,0.2,0.06,0.5,32.0,-0.1,89.1,11.0,22599.9999,4300.0,5400.0,300.0,1500.0,310.0,2970.0,4200.0,100.0,KTpg,TrJTk,False,54.85219,-123.77386,paragneiss metamorphic rocks
