,MASTERID,LAT,LONG,STRAT,Actual_Zn_PPM,Pred_Zn_PPM
1249,ID093J073615,54.09668,-122.96011,TrJTk,151.2,108.46
1832,ID093O072331,55.10122,-123.87074,TrJTk,41.6,63.14
480,ID093J071066,54.2381,-123.78028,MTrCc,95.3,121.69
1307,ID093J073682,54.44877,-123.03933,TrJTk,114.9,121.0
325,ID093G073236,53.72249,-123.5802,MTrCc,67.6,71.05
929,ID093J071789,54.52203,-123.28401,TrJTk,85.4,99.77
1881,ID093O072464,55.19965,-123.46534,OMEa,64.6,85.91
965,ID093J071832,54.21186,-123.51365,TrJTk,89.4,100.4
1456,ID093J073848,54.6412,-122.59074,CmOKe,116.7,137.63
475,ID093J071060,54.20763,-123.64755,MTrCc,132.5,118.99
1408,ID093J073793,54.51019,-123.00556,TrJTk,49.2,70.27
1201,ID093J073563,54.261,-123.13896,TrJTk,170.6,130.44
1483,ID093J073876,54.52887,-122.72081,CPSm,89.8,106.61
1715,ID093N071152,55.007,-124.1902,lJCl,35.6,51.93
1440,ID093J073829,54.27002,-122.48913,KTpg,79.8,90.08
755,ID093J071595,54.58373,-123.49453,KTpg,105.5,111.25
669,ID093J071488,54.9415,-123.51092,KTpg,79.3,101.42
1451,ID093J073842,54.56869,-122.5151,CmOs,99.4,118.34
1349,ID093J073728,54.17146,-122.82037,CPSm,116.8,133.19
517,ID093J071107,54.77582,-123.6285,Kpe,80.2,86.05
985,ID093J071854,54.15034,-123.41799,TrJTk,149.0,137.46
569,ID093J071242,54.53463,-123.9084,TrJTk,82.4,97.02
1529,ID093J073928,54.5526,-122.88134,KTpg,85.7,87.34
159,ID093G073032,53.29819,-122.73961,uTrJNc,97.3,113.34
1623,ID093J075090,54.9027,-123.06904,TrJTk,68.0,59.55
155,ID093G073028,53.31355,-122.75487,uTrJNc,60.6,54.69
1346,ID093J073725,54.09662,-122.86747,TrJTk,233.7,175.65
146,ID093G073017,53.48091,-122.91566,uTrJNc,99.3,113.95
270,ID093G073167,53.76889,-122.13998,LTQCh,131.9,100.82
619,ID093J071357,54.69789,-123.67186,TrJTk,53.2,75.12
342,ID093G073255,53.80502,-123.42144,MTrCc,61.7,81.21
1045,ID093J073372,54.18759,-123.27836,TrJTk,203.9,175.73
1930,ID093O075003,55.03315,-123.2197,TrJTk,112.0,96.55
1775,ID093N071218,55.03903,-124.11321,TrJTk,77.2,52.69
561,ID093J071233,54.86198,-123.89141,TrJTk,70.8,69.16
1946,ID093O075033,55.00173,-123.12114,TrJTk,36.8,75.83
812,ID093J071658,54.4982,-123.73504,TrJTk,105.6,115.85
1169,ID093J073527,54.1621,-123.0722,TrJTk,168.2,127.52
164,ID093G073037,53.23092,-122.63321,uTrJNc,307.5,122.32
859,ID093J071712,54.39012,-123.65968,TrJTk,137.9,117.07
154,ID093G073027,53.32706,-122.76092,uTrJNc,99.3,99.62
424,ID093G073391,53.87635,-123.11426,TrJTk,147.6,122.61
593,ID093J071269,54.80416,-123.85187,TrJTk,65.3,103.95
1921,ID093O073974,55.04524,-123.24671,TrJTk,107.5,88.05
1288,ID093J073660,54.53931,-123.46455,KTmc,142.2,142.74
1547,ID093J073956,54.89049,-123.26273,TrJTk,106.7,133.23
330,ID093G073242,53.78089,-123.42523,MTrCc,91.9,85.53
1546,ID093J073955,54.87395,-123.23793,TrJTk,89.0,65.29
1577,ID093J075025,54.96151,-123.13416,TrJTk,101.5,69.16
696,ID093J071529,54.6346,-123.56617,KTpg,115.6,142.16
100,ID093G071966,53.65685,-123.51352,PJog,61.8,71.78
1350,ID093J073730,54.15984,-122.7784,CPSm,137.6,125.6
1122,ID093J073471,54.13284,-123.17266,TrJTk,13.0,36.62
1673,ID093J075146,54.88472,-122.98875,TrJTk,154.0,129.34
1890,ID093O072474,55.1192,-123.67173,TrJTk,56.3,56.88
1247,ID093J073613,54.0242,-122.99368,TrJTk,113.6,151.87
1895,ID093O072479,55.06933,-123.55905,TrJTk,115.0,133.68
487,ID093J071074,54.2934,-123.92867,MTrCc,80.1,81.65
81,ID093G071946,53.48276,-123.44432,PJog,52.7,79.39
384,ID093G073302,53.82257,-123.77781,MTrCc,214.5,191.63
91,ID093G071956,53.65388,-123.20942,MTrCc,127.4,95.23
616,ID093J071354,54.56371,-123.7802,TrJTk,193.9,180.76
1136,ID093J073486,54.04745,-123.08877,TrJTk,53.7,72.86
1737,ID093N071176,55.04245,-124.72277,TrJTk,64.2,82.76
1674,ID093J075147,54.88472,-122.98875,TrJTk,160.7,130.95
229,ID093G073109,53.6959,-122.45026,TrJTk,92.6,116.84
317,ID093G073227,53.69992,-123.52583,PJog,63.1,72.25
584,ID093J071259,54.72446,-123.82203,TrJTk,99.6,105.29
1014,ID093J071888,54.05364,-123.27066,TrJTk,95.4,80.12
801,ID093J071646,54.49133,-123.55875,TrJTk,124.8,116.87
