,MASTERID,LAT,LONG,STRAT,Actual_Cu_PPM,Pred_Cu_PPM
858,ID093J071711,54.39518,-123.6842,TrJTk,42.82,40.21
1395,ID093J073779,54.55954,-123.24247,KTpg,42.41,56.5
620,ID093J071358,54.71745,-123.64873,TrJTk,40.69,46.01
1745,ID093N071185,55.06922,-124.99274,TrJTk,26.6,25.3
1419,ID093J073807,54.37254,-122.52453,KTpg,33.79,37.84
704,ID093J071538,54.59337,-123.63556,TrJTk,24.67,33.15
117,ID093G071985,53.58214,-123.59634,PJml,25.56,28.22
1109,ID093J073456,54.24481,-123.20757,TrJTk,24.74,25.82
1674,ID093J075147,54.88472,-122.98875,TrJTk,90.82,81.63
1455,ID093J073846,54.63305,-122.60504,CmOKe,22.92,32.26
220,ID093G073099,53.58313,-122.5826,uPrPzS,33.16,32.88
1672,ID093J075145,54.87363,-122.97776,TrJTk,82.66,71.35
866,ID093J071719,54.3827,-123.57801,TrJTk,42.71,42.16
728,ID093J071565,54.59068,-123.53063,KTpg,55.73,58.49
864,ID093J071717,54.35407,-123.59812,TrJTk,28.43,32.39
1603,ID093J075068,54.8491,-123.13919,TrJTk,81.83,68.68
688,ID093J071520,54.68076,-123.5656,KTpg,39.37,41.29
945,ID093J071807,54.45198,-123.5071,TrJTk,67.19,69.39
1406,ID093J073791,54.53196,-123.10235,TrJTk,65.67,62.88
1500,ID093J073896,54.60351,-123.05698,TrJTk,68.33,65.22
1626,ID093J075093,54.8809,-123.09692,TrJTk,119.5,80.01
1020,ID093J071894,54.01456,-123.20924,TrJTk,14.49,22.99
190,ID093G073066,53.35923,-122.40603,uTrJNc,92.57,55.56
708,ID093J071543,54.54124,-123.76038,TrJTk,64.32,69.14
302,ID093G073211,53.70188,-122.84677,TrJTk,41.83,40.14
1205,ID093J073567,54.20715,-123.19881,TrJTk,39.18,41.03
401,ID093G073320,53.92849,-123.39684,MTrCc,18.44,24.6
724,ID093J071560,54.57037,-123.61734,TrJTk,99.96,84.63
1037,ID093J073363,54.18438,-123.33525,TrJTk,28.52,28.41
472,ID093J071057,54.16893,-123.70045,LTQCh,44.07,46.08
1726,ID093N071164,55.07874,-124.5823,TrJTk,101.8,92.56
686,ID093J071518,54.66674,-123.54187,KTpg,34.64,40.29
1042,ID093J073369,54.23182,-123.26577,TrJTk,41.94,48.17
1681,ID093J075155,54.68863,-122.9173,CPSm,57.49,63.91
1330,ID093J073707,54.32376,-122.78366,TrJTk,25.99,40.42
1435,ID093J073824,54.29869,-122.50445,KTpg,29.61,35.83
1730,ID093N071169,55.00745,-124.56159,TrJTk,120.8,66.31
1469,ID093J073862,54.71464,-122.7657,CmOs,20.1,28.18
151,ID093G073023,53.35085,-122.75705,uTrJNc,5.29,7.8
317,ID093G073227,53.69992,-123.52583,PJog,44.48,47.52
1168,ID093J073526,54.17913,-123.11186,TrJTk,33.49,34.79
1891,ID093O072475,55.12522,-123.64264,TrJTk,32.97,36.85
161,ID093G073034,53.25958,-122.69636,uTrJNc,67.8,76.65
1164,ID093J073522,54.21862,-123.02613,TrJTk,29.6,37.31
510,ID093J071099,54.62544,-123.71509,TrJTk,10.94,17.82
1494,ID093J073890,54.5897,-122.91517,TrJTk,53.77,53.81
1454,ID093J073845,54.58429,-122.62823,SDs,27.99,37.3
1748,ID093N071188,55.06209,-124.86637,TrJTk,46.56,57.19
122,ID093G071990,53.57919,-123.45903,PJml,7.54,11.52
1393,ID093J073777,54.54494,-123.20941,TrJTk,51.64,60.97
707,ID093J071542,54.53314,-123.76636,TrJTk,42.1,48.16
615,ID093J071353,54.57569,-123.76457,TrJTk,36.53,32.87
855,ID093J071707,54.39505,-123.79801,TrJTk,48.81,50.29
690,ID093J071523,54.69227,-123.51386,KTpg,17.03,18.46
1815,ID093O072284,55.08482,-123.95777,TrJTk,28.24,24.2
1185,ID093J073545,54.36669,-123.06044,TrJTk,23.46,32.76
440,ID093H073152,53.55339,-121.99149,TrJTk,49.86,52.57
1361,ID093J073742,54.29049,-122.64157,CPSm,29.54,32.51
1267,ID093J073636,54.31011,-122.97286,TrJTk,42.35,46.18
808,ID093J071654,54.49926,-123.66818,TrJTk,62.49,55.46
479,ID093J071065,54.24766,-123.71473,MTrCc,46.85,46.53
210,ID093G073088,53.27173,-122.4299,uTrJNc,81.97,78.67
187,ID093G073063,53.42583,-122.47577,uPrPzS,69.38,79.84
433,ID093G073420,53.9757,-123.12539,TrJTk,11.23,13.73
6,ID093G071008,53.6258,-122.99843,LTQCh,51.96,51.25
